DLP-DI_Integration
Discovery
CFT
Confiuration
Auditing
EventMonitoring
DeleteAction
Classification
AD
QA
RansomwareFilegroupAddition
Install_Upgrade
Job Management
RBAC
health_monitoring
Netapp
Licensing
Indexing
Scanner
Settings
SMTP
VIC
Winnas
WatchlistSettings
SharePoint
Summary_Dashboard
Upgrade
Workspace
reports
